local_item_id,category_id,item_key,brand,image_url,external_link,external_service,is_active,created_at,updated_at
797,1,movie_tmdb_289,,https://image.tmdb.org/t/p/w500/2y4FgbomoL5Aa9EGM3dqDEvvDdT.jpg,https://www.themoviedb.org/movie/289,TMDB,t,2026-02-23 07:02:30.144058,2026-02-23 07:02:30.144058
805,1,movie_tmdb_667276,,https://image.tmdb.org/t/p/w500/fR49hZdFJ6ZtRS23JW79VYmZgI7.jpg,https://www.themoviedb.org/movie/667276,TMDB,t,2026-02-23 07:02:30.165415,2026-02-23 07:02:30.165415
806,1,movie_tmdb_315162,,https://image.tmdb.org/t/p/w500/rKgvctIuPXyuqOzCQ16VGdnHxKx.jpg,https://www.themoviedb.org/movie/315162,TMDB,t,2026-02-23 07:02:30.168284,2026-02-23 07:02:30.168284
807,1,movie_tmdb_161803,,https://image.tmdb.org/t/p/w500/84GjqdUXHFDc8VQLcL1vBRsRmbK.jpg,https://www.themoviedb.org/movie/161803,TMDB,t,2026-02-23 07:02:30.171676,2026-02-23 07:02:30.171676
808,1,movie_tmdb_30325,,https://image.tmdb.org/t/p/w500/3mdmuXkzFciadj9Amy9ejamcDwp.jpg,https://www.themoviedb.org/movie/30325,TMDB,t,2026-02-23 07:02:30.173732,2026-02-23 07:02:30.173732
809,1,movie_tmdb_620683,,https://image.tmdb.org/t/p/w500/zw77BFPGJ73Lig8GwRzYj1XHq53.jpg,https://www.themoviedb.org/movie/620683,TMDB,t,2026-02-23 07:02:30.176478,2026-02-23 07:02:30.176478
810,1,movie_tmdb_532753,,https://image.tmdb.org/t/p/w500/b3I1eHGn3Lr9YRg4H7Rc6kgadWJ.jpg,https://www.themoviedb.org/movie/532753,TMDB,t,2026-02-23 07:02:30.178668,2026-02-23 07:02:30.178668
814,1,movie_tmdb_72720,,https://image.tmdb.org/t/p/w500/i0k5Biew92QcBgrAW3ho8nXzsbI.jpg,https://www.themoviedb.org/movie/72720,TMDB,t,2026-02-23 07:02:30.18938,2026-02-23 07:02:30.18938
815,1,movie_tmdb_110420,,https://image.tmdb.org/t/p/w500/2mF1IKMeB9JGstJqismy5AoamrV.jpg,https://www.themoviedb.org/movie/110420,TMDB,t,2026-02-23 07:02:30.192108,2026-02-23 07:02:30.192108
816,1,movie_tmdb_995133,,https://image.tmdb.org/t/p/w500/uVc19KKsZ522uvVwqKbWA752gsK.jpg,https://www.themoviedb.org/movie/995133,TMDB,t,2026-02-23 07:02:30.196011,2026-02-23 07:02:30.196011
817,1,movie_tmdb_618344,,https://image.tmdb.org/t/p/w500/c01Y4suApJ1Wic2xLmaq1QYcfoZ.jpg,https://www.themoviedb.org/movie/618344,TMDB,t,2026-02-23 07:02:30.199178,2026-02-23 07:02:30.199178
818,1,movie_tmdb_635302,,https://image.tmdb.org/t/p/w500/8VhwCJ9gqfGor5uk2sqt9ZqeacN.jpg,https://www.themoviedb.org/movie/635302,TMDB,t,2026-02-23 07:02:30.201976,2026-02-23 07:02:30.201976
819,1,movie_tmdb_354912,,https://image.tmdb.org/t/p/w500/pQu93NuwR90AaCULzglVD5Ge4Ml.jpg,https://www.themoviedb.org/movie/354912,TMDB,t,2026-02-23 07:02:30.208722,2026-02-23 07:02:30.208722
906,4,coffee_special_reserve_hawaii_kona,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/special_reserve_hawaii_kona,NESPRESSO,t,2026-02-23 10:39:14.678999,2026-02-23 10:39:14.678999
907,4,coffee_caffe_florian,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/caffe_florian,NESPRESSO,t,2026-02-23 10:39:14.714049,2026-02-23 10:39:14.714049
908,4,coffee_samra_origin_tanzania,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/samra_origin_tanzania,NESPRESSO,t,2026-02-23 10:39:14.717212,2026-02-23 10:39:14.717212
909,4,coffee_festive_almond_hibiscus,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/festive_almond_hibiscus,NESPRESSO,t,2026-02-23 10:39:14.721324,2026-02-23 10:39:14.721324
910,4,coffee_freddo_delicato,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/freddo_delicato,NESPRESSO,t,2026-02-23 10:39:14.725418,2026-02-23 10:39:14.725418
